"filename", "language", "JSON", "JavaScript", "XML", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\.idea\library-app-alpha.iml", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\anxoa\WebstormProjects\library-app-alpha\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\anxoa\WebstormProjects\library-app-alpha\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\anxoa\WebstormProjects\library-app-alpha\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\anxoa\WebstormProjects\library-app-alpha\package-lock.json", "JSON", 36220, 0, 0, 0, 0, 0, 0, 1, 36221
"c:\Users\anxoa\WebstormProjects\library-app-alpha\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\anxoa\WebstormProjects\library-app-alpha\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\anxoa\WebstormProjects\library-app-alpha\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\anxoa\WebstormProjects\library-app-alpha\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\App.css", "CSS", 0, 0, 0, 0, 37, 0, 0, 7, 44
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\App.js", "JavaScript", 0, 71, 0, 0, 0, 0, 1, 6, 78
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.css", "CSS", 0, 0, 0, 0, 122, 0, 10, 21, 153
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.js", "JavaScript", 0, 327, 0, 0, 0, 0, 4, 28, 359
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminUsers.js", "JavaScript", 0, 187, 0, 0, 0, 0, 3, 21, 211
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Authors.js", "JavaScript", 0, 226, 0, 0, 0, 0, 8, 23, 257
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\BookCard.css", "CSS", 0, 0, 0, 0, 42, 0, 6, 8, 56
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\BookCard.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 4, 33
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\BookDetails.css", "CSS", 0, 0, 0, 0, 38, 0, 5, 6, 49
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\BookDetails.js", "JavaScript", 0, 158, 0, 0, 0, 0, 7, 29, 194
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Books.js", "JavaScript", 0, 364, 0, 0, 0, 0, 8, 33, 405
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Categories.js", "JavaScript", 0, 203, 0, 0, 0, 0, 8, 24, 235
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Category.css", "CSS", 0, 0, 0, 0, 69, 0, 2, 14, 85
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Category.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 13, 98
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\DelayedBooks.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 18, 128
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\EditBook.js", "JavaScript", 0, 121, 0, 0, 0, 0, 1, 9, 131
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Homepage.css", "CSS", 0, 0, 0, 0, 64, 0, 3, 13, 80
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Homepage.js", "JavaScript", 0, 86, 0, 0, 0, 0, 3, 12, 101
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Login.css", "CSS", 0, 0, 0, 0, 50, 0, 1, 9, 60
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Login.js", "JavaScript", 0, 74, 0, 0, 0, 0, 3, 11, 88
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Navbar.css", "CSS", 0, 0, 0, 0, 168, 0, 15, 29, 212
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Navbar.js", "JavaScript", 0, 170, 0, 0, 0, 0, 1, 13, 184
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Register.css", "CSS", 0, 0, 0, 0, 45, 0, 1, 8, 54
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Register.js", "JavaScript", 0, 66, 0, 0, 0, 0, 1, 8, 75
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Reservations.css", "CSS", 0, 0, 0, 0, 81, 0, 1, 15, 97
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Reservations.js", "JavaScript", 0, 178, 0, 0, 0, 0, 0, 20, 198
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\firebase.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 4, 23
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\index.css", "CSS", 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 3, 3, 19
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\styles.css", "CSS", 0, 0, 0, 0, 95, 0, 15, 28, 138
"c:\Users\anxoa\WebstormProjects\library-app-alpha\tailwind.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 4, 19
"Total", "-", 36293, 2525, 28, 38, 827, 20, 140, 487, 40358
